,mouse,day,x,y,w,h
0,2,2,300,580,350,350
1,3,1,300,580,350,350
2,3,2,300,580,350,350
3,3,3,340,620,350,350
4,4,1,320,580,350,350
5,4,2,320,620,350,350
6,5,1,300,550,350,350
7,5,2,340,600,350,350
8,6,1,340,600,350,350
9,6,2,380,670,350,350
10,2,1,300,580,350,350
11,2,3,450,660,350,350
12,2,4,390,620,350,350
13,3,4,390,620,350,350
14,4,3,390,620,350,350
15,4,4,390,620,350,350
16,5,3,370,620,350,350
17,6,3,370,620,350,350
18,2,5,370,630,350,350
19,3,5,370,630,350,350
20,5,4,370,630,350,350
21,6,4,370,630,350,350
22,2,6,370,640,350,350
23,3,6,370,630,350,350
24,4,5,390,620,350,350
25,6,5,370,630,350,350
